color_name,r,g,b,hex
black/grey,0,0,0,#000000
navy/navy-blue,0,0,128,#000080
blue/dark-blue,0,0,139,#00008b
duke-blue/new-midnight-blue,0,0,156,#00009c
strong-blue,0,0,168,#0000a8
dark-blue,0,0,200,#0000c8
blue/blue-medium/medium-blue,0,0,205,#0000cd
vivid-blue,0,0,231,#0000e7
blue,0,0,238,#0000ee
blue/luminous-vivid-blue,0,0,255,#0000ff
very-deep-blue,0,0,29,#00001d
deep-blue,0,0,89,#000059
very-dark-blue,0,1,51,#000133
dark-green/green-dark,0,100,0,#006400
pakistan-green,0,102,0,#006600
PMS634,0,102,127,#00667f
science-blue,0,102,204,#0066cc
blue-ribbon,0,102,255,#0066ff
PMS323,0,102,99,#006663
medium-persian-blue/sapphire-blue,0,103,165,#0067a5
deep-sky-blue,0,104,139,#00688b
captain-cook,0,104,155,#00689b
PMS3425,0,104,71,#006847
PMS336,0,104,84,#006854
sea-blue,0,105,148,#006994
strong-cornflower-blue,0,105,168,#0069a8
dartmouth-green,0,105,62,#00693e
bangladesh-green/bottle-green,0,106,78,#006a4e
PMS315,0,107,119,#006b77
cadmium-green,0,107,60,#006b3c
PMS349,0,107,63,#006b3f
PMS342,0,107,84,#006b54
PMS3298,0,107,91,#006b5b
kitsch,0,108,127,#006c7f
yeehaa,0,108,152,#006c98
emerald-green,0,108,70,#006c46
PMS329,0,109,102,#006d66
PMS3155,0,109,117,#006d75
honolulu-blue,0,109,176,#006db0
teal-green,0,109,91,#006d5b
deep-phthalo-blue,0,11,89,#000b59
watercourse,0,110,78,#006e4e
moxie,0,111,60,#006f3c
PMS3015,0,112,158,#00709e
spanish-blue,0,112,184,#0070b8
brandeis-blue,0,112,255,#0070ff
dartmouth-green,0,112,60,#00703c
PMS322,0,114,114,#007272
french-blue,0,114,187,#0072bb
PMS300,0,114,198,#0072c6
true-blue,0,115,207,#0073cf
skobeloff,0,116,116,#007474
vivid-azure,0,116,231,#0074e7
bingo,0,116,96,#007460
tropical-rain-forest,0,117,94,#00755e
allports,0,118,163,#0076a3
PMS328,0,119,112,#007770
free-spirit,0,119,123,#00777b
ocean-boat-blue,0,119,190,#0077be
PMS307/PMS641/cg-blue,0,122,165,#007aa5
PMS356,0,122,61,#007a3d
PMS341,0,122,94,#007a5e
surfie-green,0,123,119,#007b77
celadon-blue/cerulean/deep-cerulean,0,123,167,#007ba7
star-command-blue,0,123,184,#007bb8
PMS335,0,124,102,#007c66
PMS3415,0,124,89,#007c59
strong-cerulean,0,126,168,#007ea8
lochmara,0,126,199,#007ec7
generic-viridian,0,127,102,#007f66
PMS320-2X,0,127,130,#007f82
PMS633,0,127,153,#007f99
PMS299-2X,0,127,204,#007fcc
azure/azure-radiance/slate-blue,0,127,255,#007fff
spanish-viridian,0,127,92,#007f5c
ao/green/office-green/web-green,0,128,0,#008000
stormcloud/teal,0,128,128,#008080
luminous-vivid-azure,0,128,255,#0080ff
PMS3288,0,130,112,#008270
PMS3295,0,130,114,#008272
teal-green,0,130,127,#00827f
PMS314,0,130,155,#00829b
PMS3145,0,132,142,#00848e
bowie,0,132,172,#0084ac
PMS3005,0,132,201,#0084c9
windfall,0,133,117,#008575
turquoise,0,134,139,#00868b
PMS569,0,135,114,#008772
PMS321,0,135,137,#008789
eastern-blue,0,135,159,#00879f
blue,0,135,189,#0087bd
PMS348,0,135,81,#008751
PMS327-2X,0,137,119,#008977
PMS801-2X,0,137,175,#0089af
green,0,139,0,#008b00
cyan/dark-cyan,0,139,139,#008b8b
hullabaloo/yabbadabbadoo,0,139,151,#008b97
spring-green,0,139,69,#008b45
very-deep-azure,0,14,29,#000e1d
PMS327/PMS3282,0,140,130,#008c82
PMS640,0,140,178,#008cb2
PMS2925,0,142,214,#008ed6
mother-earth,0,143,105,#008f69
observatory,0,143,112,#008f70
islamic-green,0,144,0,#009000
vivid-cornflower-blue,0,145,231,#0091e7
spanish-green,0,145,80,#009150
seeker,0,146,165,#0092a5
strong-arctic-blue,0,147,168,#0093a8
blue,0,147,175,#0093af
kelley-green,0,147,55,#009337
bondi-blue,0,149,182,#0095b6
phthalo-blue,0,15,137,#000f89
viridian-green,0,150,152,#009698
green-cyan,0,153,102,#009966
PMS340,0,153,119,#009977
PMS334,0,153,124,#00997c
PMS3285,0,153,135,#009987
PMS313,0,153,181,#0099b5
PMS452-2X,0,153,68,#009944
deep-sky-blue,0,154,205,#009acd
paolo-veronese-green,0,155,125,#009b7d
PMS3278,0,155,132,#009b84
PMS3135,0,155,170,#009baa
origin,0,156,138,#009c8a
pacific-blue,0,157,196,#009dc4
PMS368-2X,0,158,15,#009e0f
PMS320,0,158,160,#009ea0
PMS355,0,158,73,#009e49
howzat,0,158,89,#009e59
PMS347/shamrock-green,0,158,96,#009e60
green,0,159,107,#009f6b
luminous-vivid-cornflower-blue,0,159,255,#009fff
PMS808-2X,0,160,135,#00a087
PMS632,0,160,186,#00a0ba
PMS639,0,160,196,#00a0c4
PMS306-2X,0,163,209,#00a3d1
PMS299,0,163,221,#00a3dd
PMS2995,0,165,219,#00a5db
green,0,165,80,#00a550
persian-green,0,166,147,#00a693
strong-green,0,168,0,#00a800
strong-aquamarine,0,168,105,#00a869
jade,0,168,107,#00a86b
green,0,168,119,#00a877
strong-turquoise,0,168,126,#00a87e
strong-opal,0,168,147,#00a893
strong-cyan,0,168,168,#00a8a8
strong-emerald-green,0,168,21,#00a815
strong-malachite-green,0,168,42,#00a82a
strong-sea-green,0,168,63,#00a83f
strong-spring-green,0,168,84,#00a854
navy-blue,0,17,70,#001146
PMS3272,0,170,158,#00aa9e
PMS801,0,170,204,#00aacc
vivid-cerulean,0,170,238,#00aaee
go-green,0,171,102,#00ab66
PMS312,0,173,198,#00adc6
green,0,173,67,#00ad43
vivid-cerulean,0,174,231,#00aee7
PMS3268,0,175,153,#00af99
PMS3405,0,178,122,#00b27a
PMS339,0,178,140,#00b28c
PMS3275,0,178,160,#00b2a0
PMS326,0,178,170,#00b2aa
deep-sky-blue,0,178,238,#00b2ee
PMS808,0,181,155,#00b59b
PMS638,0,181,214,#00b5d6
PMS3125,0,183,198,#00b7c6
cyan,0,183,235,#00b7eb
PMS354,0,183,96,#00b760
PMS306,0,188,226,#00bce2
home-run,0,190,120,#00be78
capri/deep-sky-blue/luminous-vivid-cerulean/sky-blue-deep,0,191,255,#00bfff
PMS3262,0,193,181,#00c1b5
dark-turquoise,0,195,205,#00c3cd
turquoise,0,197,205,#00c5cd
PMS3265,0,198,178,#00c6b2
turquoise-blue,0,199,140,#00c78c
dark-navy-blue,0,2,46,#00022e
dark-imperial-blue,0,20,126,#00147e
zaffre,0,20,168,#0014a8
PMS3395,0,201,147,#00c993
emerald-green,0,201,87,#00c957
vivid-arctic-blue,0,202,231,#00cae7
caribbean-green,0,204,153,#00cc99
robin-egg-blue/robin's-egg-blue,0,204,204,#00cccc
